epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.214,1.49819,1.75752,1.22687,0.15888,0.78129,0.46713,0.30134,1.42045,3.10796,1.16404,0.0672329,0.000164659,0.000164659
2,58.003,1.32545,0.94486,1.12643,0.89707,0.84734,0.92941,0.57291,1.37801,0.86887,1.18765,0.0340626,0.000327681,0.000327681
3,83.35,1.31014,0.8528,1.11368,0.91046,0.87419,0.93127,0.60058,1.2438,0.75188,1.11432,0.000888643,0.000487036,0.000487036
4,108.803,1.27345,0.81705,1.09868,0.9179,0.86066,0.93276,0.60006,1.2576,0.72603,1.1034,0.0004835,0.0004835,0.0004835
5,134.378,1.28106,0.79418,1.10332,0.93244,0.89642,0.94648,0.62292,1.20622,0.64824,1.08352,0.000478,0.000478,0.000478
6,159.877,1.25839,0.77437,1.09596,0.90957,0.88142,0.92988,0.59075,1.29605,0.74075,1.13041,0.0004725,0.0004725,0.0004725
7,185.281,1.23724,0.73551,1.08183,0.93617,0.90227,0.95259,0.63494,1.19364,0.61887,1.07448,0.000467,0.000467,0.000467
8,210.67,1.23476,0.72906,1.08375,0.93674,0.902,0.95141,0.63523,1.18525,0.61088,1.07271,0.0004615,0.0004615,0.0004615
9,236.29,1.22124,0.70783,1.0721,0.93678,0.89794,0.9529,0.63091,1.19215,0.60979,1.06414,0.000456,0.000456,0.000456
10,261.605,1.20806,0.69491,1.07144,0.94162,0.90174,0.95584,0.64354,1.17664,0.59044,1.07274,0.0004505,0.0004505,0.0004505
11,287.176,1.22016,0.69525,1.07408,0.93709,0.90176,0.95556,0.64833,1.16588,0.58318,1.06502,0.000445,0.000445,0.000445
12,312.499,1.20242,0.68276,1.06583,0.93592,0.90056,0.95106,0.63172,1.2088,0.59728,1.07872,0.0004395,0.0004395,0.0004395
13,337.812,1.20299,0.67911,1.06668,0.93579,0.9168,0.95693,0.63793,1.19926,0.57952,1.07501,0.000434,0.000434,0.000434
14,363.032,1.20329,0.67584,1.06233,0.93207,0.90881,0.95299,0.65275,1.15684,0.58354,1.05765,0.0004285,0.0004285,0.0004285
15,388.487,1.19928,0.66675,1.06013,0.93774,0.90624,0.95606,0.64095,1.19166,0.56921,1.06655,0.000423,0.000423,0.000423
16,413.732,1.18879,0.66455,1.05668,0.93909,0.90882,0.958,0.6514,1.15681,0.55777,1.05643,0.0004175,0.0004175,0.0004175
17,439.043,1.18102,0.65741,1.05637,0.9369,0.91546,0.96055,0.65245,1.15051,0.58035,1.055,0.000412,0.000412,0.000412
18,464.315,1.17644,0.64771,1.05427,0.94247,0.90833,0.95685,0.64934,1.15886,0.55322,1.057,0.0004065,0.0004065,0.0004065
19,489.679,1.16683,0.64054,1.0533,0.93799,0.92005,0.96274,0.65802,1.16358,0.54906,1.06474,0.000401,0.000401,0.000401
20,514.994,1.1702,0.64106,1.0503,0.92805,0.90576,0.95554,0.64497,1.167,0.58279,1.06259,0.0003955,0.0003955,0.0003955
21,540.329,1.16699,0.63715,1.0511,0.94034,0.90491,0.95711,0.65359,1.15496,0.55383,1.05594,0.00039,0.00039,0.00039
22,565.877,1.1709,0.63423,1.04747,0.9425,0.91312,0.96033,0.64845,1.18348,0.55199,1.0597,0.0003845,0.0003845,0.0003845
23,591.277,1.15915,0.62671,1.04471,0.9349,0.9216,0.96062,0.66059,1.14199,0.53458,1.04375,0.000379,0.000379,0.000379
24,616.641,1.16569,0.62331,1.04719,0.9343,0.91737,0.9619,0.66297,1.14363,0.54352,1.04749,0.0003735,0.0003735,0.0003735
25,641.835,1.15703,0.61984,1.0435,0.94709,0.91755,0.96299,0.65911,1.15156,0.52561,1.04911,0.000368,0.000368,0.000368
26,667.147,1.14699,0.61321,1.04204,0.94855,0.91313,0.96223,0.65906,1.15093,0.53629,1.05191,0.0003625,0.0003625,0.0003625
